iter	Passed	Remaining
0	20	20352
1	50	25082
2	79	26326
3	112	28077
4	149	29809
5	189	31407
6	231	32867
7	267	33166
8	284	31328
9	310	30749
10	337	30348
11	363	29916
12	387	29423
13	422	29725
14	460	30222
15	495	30489
16	537	31061
17	579	31603
18	610	31538
19	638	31305
20	672	31333
21	702	31229
22	723	30734
23	751	30574
24	782	30517
25	813	30491
26	839	30240
27	860	29858
28	881	29505
29	907	29345
30	928	29037
31	957	28962
32	982	28793
33	1009	28682
34	1025	28277
35	1042	27927
36	1061	27639
37	1088	27553
38	1125	27721
39	1159	27825
40	1188	27790
41	1214	27705
42	1263	28129
43	1283	27889
44	1298	27558
45	1319	27358
46	1337	27114
47	1357	26928
48	1374	26671
49	1392	26449
50	1409	26218
51	1426	26003
52	1444	25814
53	1460	25587
54	1477	25381
55	1502	25332
56	1528	25286
57	1552	25215
58	1570	25045
59	1585	24847
60	1601	24649
61	1615	24445
62	1630	24255
63	1644	24049
64	1659	23864
65	1672	23664
66	1690	23536
67	1711	23457
68	1741	23497
69	1770	23524
70	1796	23511
71	1820	23459
72	1855	23559
73	1889	23647
74	1920	23685
75	1958	23811
76	1988	23832
77	2008	23735
78	2028	23648
79	2056	23647
80	2090	23723
81	2139	23957
82	2196	24264
83	2221	24222
84	2248	24207
85	2275	24187
86	2308	24229
87	2330	24149
88	2346	24020
89	2364	23906
90	2391	23892
91	2408	23771
92	2429	23693
93	2445	23567
94	2460	23442
95	2475	23306
96	2491	23191
97	2508	23086
98	2527	23004
99	2547	22930
100	2565	22837
101	2582	22736
102	2596	22611
103	2608	22477
104	2623	22360
105	2638	22256
106	2656	22167
107	2675	22097
108	2701	22080
109	2746	22220
110	2790	22349
111	2828	22428
112	2861	22458
113	2891	22469
114	2925	22514
115	2964	22588
116	2991	22578
117	3023	22597
118	3053	22605
119	3110	22808
120	3159	22949
121	3208	23090
122	3254	23204
123	3292	23262
124	3323	23261
125	3343	23191
126	3364	23128
127	3384	23059
128	3407	23003
129	3426	22934
130	3450	22891
131	3484	22911
132	3514	22907
133	3550	22946
134	3591	23010
135	3618	22990
136	3640	22930
137	3665	22894
138	3692	22874
139	3726	22892
140	3761	22918
141	3790	22905
142	3821	22901
143	3843	22849
144	3865	22794
145	3885	22729
146	3911	22694
147	3929	22621
148	3951	22568
149	3971	22505
150	3994	22459
151	4018	22416
152	4048	22411
153	4072	22371
154	4092	22312
155	4113	22255
156	4136	22211
157	4157	22153
158	4177	22094
159	4196	22030
160	4217	21977
161	4236	21915
162	4256	21859
163	4280	21821
164	4300	21762
165	4320	21708
166	4343	21664
167	4371	21649
168	4397	21623
169	4423	21596
170	4452	21585
171	4485	21595
172	4528	21646
173	4568	21689
174	4617	21766
175	4646	21754
176	4674	21734
177	4699	21704
178	4731	21699
179	4770	21731
180	4811	21773
181	4854	21819
182	4888	21822
183	4929	21861
184	4986	21967
185	5044	22078
186	5080	22086
187	5137	22190
